,doi,auc,true_colour,true_panel
1,10_1007_s00259-025-07134-0,0.865,orange,a
2,10_1016_j_ijom_2025_03_003,0.95,orange,na
3,10_3390_jcm15010273,0.791,purple,a
4,10_1007_s00198-025-07423-2,0.666,green,a
5,10_1016_j_jocmr_2025_101982,0.778,green,b
6,10_3389_fcvm_2025_1613975,0.598,red,c
7,10_3389_fendo_2025_1490229,0.76,blue,a
8,10_1016_j_cllc_2025_10_006,0.996,orange,a
9,10_3389_fmed_2025_1529648,0.816,purple,d
10,10_1002_dad2_70229,0.78,green,b
11,10_1007_s00586-025-09533-1,0.808,red,b
12,10_1021_acs_jproteome_5c00626,0.871,black,a
13,10_1007_s11695-025-07994-3,0.96,red,b
14,10_1016_j_ultrasmedbio_2025_05_005,0.8,blue,c
15,10_1016_j_ejso_2025_109723,0.6,green,a
16,10_3389_fendo_2025_1593917,0.74,yellow,a
17,10_3389_fmed_2025_1615136,0.676,pink,a
18,10_1007_s00330-025-11640-y,0.73,blue,b
19,10_1097_brs_0000000000005595,0.857,green,a
20,10_1007_s10143-025-03194-w,0.75,blue,a
21,10_3389_fphar_2025_1576467,0.943,red,h
22,10_1245_s10434-025-18761-0,0.7,green,a
23,10_1186_s13550-025-01245-3,0.91,blue,17
24,10_1080_0886022x_2025_2529452,0.824,orange,a
25,10_1016_j_numecd_2025_103963,0.75,red,5
26,10_1016_j_cyto_2025_156975,0.799,blue,c
27,10_1016_j_cca_2025_120143,0.918,green,b
28,10_3389_fendo_2025_1687145,0.978,purple,d
29,10_1007_s43657-024-00179-5,0.811,red,a
30,10_1016_j_cjca_2025_02_032,0.777,dark pink,a
31,10_1016_j_ajp_2025_104738,0.62,blue,a
32,10_1111_eci_70052,0.82,red,a
33,10_1016_j_ejrad_2025_111958,0.795,teal,c
34,10_1016_j_compbiomed_2025_110666,0.8,green,a
35,10_1016_j_acra_2025_04_072,0.99,orange,b
36,10_1093_eurheartj_ehaf949,0.85,blue,c
37,10_1186_s13075-025-03478-y,0.75,green,a
38,10_3168_jds_2025-27130,0.66,black line,c
39,10_1007_s10143-025-03528-8,0.795,blue,c
40,10_1016_j_jbiomech_2025_113073,0.822,blue,b
41,10_1007_s13167-025-00412-9,0.74,green,b
42,10_1007_s00415-025-13361-0,0.804,xgboost,a
43,10_1097_js9_0000000000003070,0.817,blue,a
44,10_1007_s00404-025-07973-0,0.58,red,c
45,10_3389_fmed_2025_1637694,0.941,orange,a
46,10_1111_dom_16470,0.61,black,a2
47,10_3350_cmh_2024_0898,0.902,black,a
48,10_1016_j_injury_2025_112934,0.917,dark blue,b
49,10_1007_s13167-025-00417-4,0.81,blue,a
50,10_1002_ccd_31534,0.86,black,c
51,10_1016_j_spinee_2025_05_025,0.738,blue,a
52,10_1097_brs_0000000000005595_two,0.774,yellow,a
53,10_1007_s11547-025-01949-5,0.924,yellow,a
54,10_1016_j_ejvs_2025_04_002,0.687,red,a
55,10_1016_j_tjpad_2025_100077,0.86,green,a
56,10_1016_j_urolonc_2024_12_274,0.782,red,e
57,10_1111_nicc_13233,0.467,dark blue,a
58,10_1109_tmi_2024_3510836,0.6685,purple,b
59,10_1007_s00586-025-08760-w,0.774,blue,a
60,10_1016_j_ejvs_2025_04_002_two,0.621,vsgne,b
61,10_3389_fmed_2025_1606336,0.989,resnet50,a
62,10_3390_jcm14207150,0.783,green,a
63,10_1080_07853890_2025_2566869,0.89,RF,e
64,10_3389_fnut_2025_1574063,0.797,orange,b
65,10_1007_s40618-025-02616-2,0.783,black,a
66,10_1016_j_numecd_2025_103963_two,0.85,red,1
67,10_3389_fmed_2025_1561769,0.842,black,a
68,10_1016_j_ejrad_2025_112199,0.85,pink,a
69,10_1007_s00330-025-12117-8,0.7,green,c
70,10_1186_s13244-024-01874-7,0.961,dark blue dash,b
71,10_3389_fmed_2025_1660387,0.662,pasp,a
72,10_1007_s00330-025-11434-2,0.883,black,b
73,10_1186_s40644-025-00875-z,0.66,pink,f
74,10_1186_s13550-025-01293-9,0.8,green,d
75,10_3389_fmed_2025_1606336_two,0.991,alexnet,a
76,10_1016_j_sleep_2025_106559,0.939,blue,a
77,10_1080_07853890_2025_2575530,0.782,blue,f
78,10_1016_j_ejrad_2025_112118,0.81,red,b
79,10_1007_s11701-025-02966-2,0.913,yellow,c
80,10_3389_fmed_2025_1670759,0.89,red,a
81,10_1016_j_ijmedinf_2025_106018,0.87,blue,d
82,10_3174_ajnr_a8833,0.72,red,a
83,10_3389_fnagi_2025_1582687,0.759,red,a3
84,10_3389_fmolb_2025_1600626,0.816,red,d
85,10_1007_s00330-025-12117-8_two,0.89,red,c
86,10_3389_fmed_2025_1543665,0.86,red,c
87,10_3389_fendo_2025_1568665,0.779,superpc,c
88,10_1080_0886022x_2025_2525462,0.72,navy,a
89,10_1159_000543188,0.742,navy,a
90,10_1007_s10120-025-01614-w,0.765,orange,f
91,10_3350_cmh_2024_0898_two,0.927,black,a
92,10_2147_tcrm_s519646,0.757,red,a
93,10_1007_s10549-024-07589-z,0.873,red,a
94,10_1016_j_tjpad_2025_100216,0.95,black,a
95,10_3389_fnut_2025_1586606,0.884,green,b
96,10_1097_js9_0000000000001883,0.593,black,f
97,10_3390_cancers17081376,0.92,navy,4
98,10_2147_tcrm_s521755,0.794,blue,a
99,10_3389_fmed_2025_1624899,0.98,black,c
100,10_1111_eci_14379,0.75,blue,b
101,10_1177_21925682251366947,0.92,teal,a
102,10_3390_jcm14103281,0.639,green,a
103,10_1016_j_ajo_2025_07_026,0.81,teal,c2
104,10_1016_j_compbiomed_2025_110859,0.64,kknn,b
105,10_1186_s40644-025-00920-x,0.972,black,a
106,10_1016_j_sleep_2025_106559_two,0.83,green,a
107,10_1007_s00330-025-11448-w,0.886,green,a
108,10_3389_fmed_2025_1533132,0.937,GBM,a
109,10_3389_fphar_2025_1677891,0.9,blue,a
