"","X","title","doi","pdf"
"345",363,"A novel malnutrition assessment model predicts the inflammatory storm of relapsed/refractory acute myeloid leukemia following C-type lectin-like molecule-1 chimeric antigen receptor T therapy.","10.3389/fnut.2025.1627624","10.3389_fnut.2025.1627624"
"346",364,"Preoperative risk prediction of major cardiovascular events in noncardiac surgery using the 12-lead electrocardiogram: an explainable deep learning approach.","10.1016/j.bja.2025.07.085","10.1016_j.bja.2025.07.085"
"347",366,"Risk factors for corneal nerve fiber loss in Chinese patients with type 2 diabetes mellitus.","10.1016/j.diabres.2025.112304","10.1016_j.diabres.2025.112304"
"348",367,"Forecasting Spoken Language Development in Children With Cochlear Implants Using Preimplant Magnetic Resonance Imaging.","10.1001/jamaoto.2025.4694","10.1001_jamaoto.2025.4694"
"349",368,"Machine learning-based prediction of postpartum hemorrhage using maternal clinical and biochemical features.","10.1002/ijgo.70609","10.1002_ijgo.70609"
"350",369,"Magnetic susceptibility source separation for assessing motor and cognitive functions in Parkinson disease.","10.1016/j.parkreldis.2025.107989","10.1016_j.parkreldis.2025.107989"
"351",370,"The association between insulin resistance-related markers and ASCVD with hyperuricemia: results from the 2005 to 2018 National Health and Nutrition Examination Survey.","10.3389/fcvm.2025.1583944","10.3389_fcvm.2025.1583944"
"352",371,"Predictive Value of Quantitative ADC, SUVmax, and the SUVmax/ADC Ratio for Biological Behavior and Prognosis in High-Risk Prostate Cancer.","10.3390/jcm14207150","10.3390_jcm14207150"
"353",372,"A nomogram for predicting tongue collapse in DISE based on UACT findings in OSA patients.","10.1007/s00405-025-09420-x","10.1007_s00405-025-09420-x"
"354",373,"Pediatric community-acquired pneumonia: predictive value of heparin-binding protein for severity assessment.","10.1038/s41390-025-04605-w","10.1038_s41390-025-04605-w"
"355",374,"Integrating Multi-Modal Imaging Features for Early Prediction of Acute Kidney Injury in Pneumonia Sepsis: A Multicenter Retrospective Study.","10.1016/j.acra.2025.08.007","10.1016_j.acra.2025.08.007"
"356",375,"Application of the metagenomic next-generation sequencing technology to identify the causes of pleural effusion.","10.3389/fmed.2025.1525100","10.3389_fmed.2025.1525100"
"357",376,"Diagnostic accuracy and cut-off values of serum leucine-rich alpha-2 glycoprotein for Crohn's disease activity in the small bowel.","10.1007/s00535-025-02223-1","10.1007_s00535-025-02223-1"
"358",377,"Interaction between coronary lesion complexity and coronary microvascular dysfunction in the prognosis of NSTEMI patients.","10.1007/s00392-025-02803-4","10.1007_s00392-025-02803-4"
"359",378,"ITGA3-MET interaction promotes papillary thyroid cancer progression via ERK and PI3K/AKT pathways.","10.1080/07853890.2025.2483379","10.1080_07853890.2025.2483379"
"360",379,"Predicting Radionecrosis After Stereotactic Radiation Therapy for Solitary Brain Metastases: External Validation of a Univariable Model and Development of a Multivariable Model.","10.1016/j.adro.2025.101871","10.1016_j.adro.2025.101871"
"361",380,"Concordance Index-Based Comparison of Inflammatory and Classical Prognostic Markers in Untreated Hepatocellular Carcinoma.","10.3390/jcm14155514","10.3390_jcm14155514"
"362",381,"First clinical investigation to predict lymphovascular and/or perineural invasion in gastric cancer using 18F-FAPI-42 PET/CT parameters.","10.1007/s00259-025-07325-9","10.1007_s00259-025-07325-9"
"363",382,"A plasma proteomics-based candidate biomarker panel predictive of amyotrophic lateral sclerosis.","10.1038/s41591-025-03890-6","10.1038_s41591-025-03890-6"
"364",383,"GrimAge and GrimAge2 Age Acceleration effectively predict mortality risk: a retrospective cohort study.","10.1080/15592294.2025.2530618","10.1080_15592294.2025.2530618"
"365",384,"Screening for obstructive sleep apnea in the resource-limited setting of the COVID-19 pandemic (SPARE study).","10.1016/j.sleep.2025.106559","10.1016_j.sleep.2025.106559"
"366",385,"ADNEX-AI: automated extraction of ultrasound predictors for interpretable ovarian cancer risk stratification.","10.1038/s41698-025-01215-x","10.1038_s41698-025-01215-x"
"367",386,"Prediction of adverse pathology in prostate cancer using a multimodal deep learning approach based on [18F]PSMA-1007 PET/CT and multiparametric MRI.","10.1007/s00259-025-07134-0","10.1007_s00259-025-07134-0"
"368",387,"Small-for-Gestational-Age Birth Weight Risk Stratification Using First-Trimester Fetal Cardiac Parameters.","10.1097/AOG.0000000000006040","10.1097_AOG.0000000000006040"
"369",388,"A novel non-invasive mRNA-lncRNA biomarker panel for accurate prediction of cervical squamous cell carcinoma and adenocarcinoma.","10.3802/jgo.2025.36.e81","10.3802_jgo.2025.36.e81"
"370",389,"A two-stage machine learning-based risk assessment model for intravenous thrombolysis in acute ischemic stroke (AIS): A multi-center modeling study of pooled datasets.","10.1016/j.ijmedinf.2025.106018","10.1016_j.ijmedinf.2025.106018"
"371",390,"A new predictive factor for postoperative neurological deficits in patients with severe post-tuberculous kyphosis: the deformity angular distance ratio.","10.1007/s00586-025-08883-0","10.1007_s00586-025-08883-0"
"372",391,"Synergic value of 3D CT-derived body composition and triglyceride glucose body mass for survival prognostic modeling in unresectable pancreatic cancer.","10.3389/fnut.2025.1499188","10.3389_fnut.2025.1499188"
"373",392,"Right ventricular-pulmonary artery coupling assessed by two-dimensional strain predicts in-hospital complications in Takotsubo syndrome.","10.1016/j.ijcard.2025.133044","10.1016_j.ijcard.2025.133044"
"374",393,"Association of urinary metal elements with sarcopenia and glucose metabolism abnormalities: Insights from NHANES data using machine learning approaches.","10.1016/j.ecoenv.2025.118469","10.1016_j.ecoenv.2025.118469"
"375",394,"Peri-Implantitis and Soft Tissue Dehiscence in a Turkish Population: Risk Indicators, Diagnostic Parameters and Biomarkers Discovery.","10.1111/jre.13422","10.1111_jre.13422"
"376",395,"Oncological outcomes of pathological extranodal extension (pENE) in oral squamous cell carcinoma (OSCC): A proposal to refine the current staging.","10.1016/j.oraloncology.2025.107281","10.1016_j.oraloncology.2025.107281"
"377",396,"Clinical utility of the GAD-7 for detecting generalized anxiety in Quechua indigenous people.","10.3389/fpsyt.2025.1565895","10.3389_fpsyt.2025.1565895"
"378",398,"Deep Learning-Enhanced Opportunistic Osteoporosis Screening in 100 kV Low-Voltage Chest CT: A Novel Way Toward Bone Mineral Density Measurement and Radiation Dose Reduction.","10.1016/j.acra.2025.07.060","10.1016_j.acra.2025.07.060"
"379",399,"Computed tomography-based absolute delta radiomics nomogram for predicting perineural invasion in hypopharyngeal squamous cell carcinoma.","10.1016/j.ejrad.2024.111912","10.1016_j.ejrad.2024.111912"
"380",400,"Predicting Hepatic Decompensation in Patients With Metabolic Dysfunction Associated Steatotic Liver Disease-Related Cirrhosis: The ABID-LSM Model.","10.1111/apt.70215","10.1111_apt.70215"
"381",401,"Performance of electronic medical record tool in predicting 6-month mortality in hospitalized patients with cancer.","10.1002/jhm.70012","10.1002_jhm.70012"
"382",402,"An informed machine learning based environmental risk score for hypertension in European adults.","10.1016/j.artmed.2025.103139","10.1016_j.artmed.2025.103139"
"383",403,"Influencing factors analysis of clinical effect of heart failure patients treated with ivabradine and metoprolol succinate and construction and validation of nomogram prediction model.","10.3389/fcvm.2025.1571468","10.3389_fcvm.2025.1571468"
"384",404,"Mortality Prediction in Hospitalized COPD Patients Based on FEV1/FVC Severity Staging.","10.3390/jcm14217766","10.3390_jcm14217766"
"385",405,"The Effect of a Kasai Procedure on Liver Transplantation in Children with Biliary Atresia: A Cohort Study.","10.3390/jcm14103328","10.3390_jcm14103328"
"386",406,"DNA methylation patterns and predictive models for metabolic disease risk in offspring of gestational diabetes mellitus.","10.1186/s13098-025-01707-7","10.1186_s13098-025-01707-7"
"387",407,"Developing and validating a nomogram for predicting endoscopic hemostasis failure in cirrhotic patients with esophageal variceal bleeding.","10.3389/fmed.2025.1670759","10.3389_fmed.2025.1670759"
"388",408,"Clinical features analysis for complications in infants with late-onset Group B streptococcal sepsis: a retrospective case-control study.","10.3389/fmed.2025.1657655","10.3389_fmed.2025.1657655"
"389",409,"Prognostic model for lung adenocarcinoma based on experimental drug-resistant cell lines and clinical patients.","10.3389/fmolb.2025.1654426","10.3389_fmolb.2025.1654426"
"390",410,"Prediction of Work-relatedness of Shoulder Musculoskeletal Disorders as by Using Machine Learning.","10.1016/j.shaw.2025.01.003","10.1016_j.shaw.2025.01.003"
"391",411,"The value of contrast-enhanced ultrasound in synovial pathotypes of rheumatoid arthritis: an exploratory study.","10.1007/s00330-025-11921-6","10.1007_s00330-025-11921-6"
"392",412,"Augmented intelligence for multimodal virtual biopsy in breast cancer using generative artificial intelligence.","10.1016/j.jbi.2025.104971","10.1016_j.jbi.2025.104971"
"393",413,"Circulating bile acids and HOMA-IR: cross-sectional results from the RoCAV population-based study.","10.3389/fendo.2025.1656942","10.3389_fendo.2025.1656942"
"394",414,"Ultrasound Localization Microscopy for the Assessment of Microvascular Abnormalities in Transplant Renal Artery Stenosis.","10.1016/j.ultrasmedbio.2025.07.032","10.1016_j.ultrasmedbio.2025.07.032"
"395",415,"Ultrasound-based fat fraction for detection of hepatic steatosis and quantification of liver fat content using liver biopsy as the reference standard.","10.1007/s00330-025-12117-8","10.1007_s00330-025-12117-8"
"396",416,"Systemic inflammatory indexes as predictors of 18-month mortality among cirrhotic patients receiving transjugular intrahepatic portosystemic shunt.","10.1080/07853890.2025.2575530","10.1080_07853890.2025.2575530"
"397",417,"Intratumoral and peritumoral CT radiomics in predicting anaplastic lymphoma kinase mutations and survival in patients with lung adenocarcinoma: a multicenter study.","10.1186/s40644-025-00856-2","10.1186_s40644-025-00856-2"
"398",418,"A machine-learning informed circulating microbial DNA signature for early diagnosis of esophageal adenocarcinoma.","10.1080/19490976.2025.2604334","10.1080_19490976.2025.2604334"
"399",421,"Developing an interpretable machine learning model for diagnosing gout using clinical and ultrasound features.","10.1016/j.ejrad.2025.111959","10.1016_j.ejrad.2025.111959"
"400",422,"Risk Factors Associated With Osteochondral Fractures After Lateral Patellar Dislocation Based on Individual Factors.","10.1177/23259671251344923","10.1177_23259671251344923"
"401",423,"External Validation of an Upgraded AI Model for Screening Ileocolic Intussusception Using Pediatric Abdominal Radiographs: Multicenter Retrospective Study.","10.2196/72097","10.2196_72097"
"402",424,"Development and validation of the predictive scoring system for 90-day mortality in critical ill patients with exertional heatstroke.","10.1080/0886022X.2025.2525462","10.1080_0886022X.2025.2525462"
"403",425,"A Composite Endpoint of Liver Surgery (CELS): Development and Validation of a Clinically Relevant Endpoint Requiring a Smaller Sample Size.","10.1245/s10434-025-16965-y","10.1245_s10434-025-16965-y"
"404",426,"Integrated Assessment of Obesity Indices and Novel Inflammatory Biomarkers in Predicting the Severity of Obstructive Sleep Apnea.","10.3390/jcm15010273","10.3390_jcm15010273"
"405",427,"An Exploratory Analysis of Continuous Glucose Monitoring Metrics in Relation to Prediabetes in Youths with Obesity.","10.1177/15209156251407959","10.1177_15209156251407959"
"406",428,"A robust stacked neural network approach for early and accurate breast cancer diagnosis.","10.3389/fmed.2025.1644857","10.3389_fmed.2025.1644857"
"407",429,"Prediction of cardiovascular events by skin auto-fluorescence: the DIABAGE follow-up study.","10.1016/j.diabet.2025.101682","10.1016_j.diabet.2025.101682"
"408",430,"Heart allograft rejection: molecular diagnosis using intra-graft targeted gene expression profiling.","10.1093/eurheartj/ehaf949","10.1093_eurheartj_ehaf949"
"409",431,"Epigenome-wide association study identifies a specific panel of DNA methylation signatures for antenatal and postpartum depressive symptoms.","10.1016/j.jad.2025.04.083","10.1016_j.jad.2025.04.083"
"410",432,"Development of a machine learning predictive model for central venous catheter-associated thrombosis in patients undergoing abdominal surgery.","10.1111/nicc.13233","10.1111_nicc.13233"
"411",433,"The value of CSF diagnostic and prognostic biomarkers in NMOSD and MOGAD in real-life use.","10.1016/j.msard.2025.106302","10.1016_j.msard.2025.106302"
"412",434,"Number of Examined Lymph Nodes in the Highest Quartile Enhances Staging and Prognosis for Patients with Esophageal Cancer Receiving Neoadjuvant Therapy.","10.1245/s10434-025-18237-1","10.1245_s10434-025-18237-1"
"413",435,"Susceptibility Changes on Preoperative Acetazolamide-Loaded 7T MR Quantitative Susceptibility Mapping Predict Post-Carotid Endarterectomy Cerebral Hyperperfusion.","10.3174/ajnr.A8692","10.3174_ajnr.A8692"
"414",436,"Derivation and Validation of Risk Score Including Nutritional Status Among Patients With Chronic Limb-threatening Ischemia: Insight From I-PAD NAGANO Registry.","10.1177/15266028251314691","10.1177_15266028251314691"
"415",437,"Validation of proposed imaging criteria for estimating vessels encapsulating tumor clusters in hepatocellular carcinoma at CT and gadoxetic acid-enhanced MRI.","10.1016/j.ejrad.2025.111936","10.1016_j.ejrad.2025.111936"
"416",438,"Utility of cytomegalovirus (CMV) qualitative polymerase chain reaction from gastrointestinal biopsies in diagnosis of CMV gastrointestinal disease: A 10-year retrospective study.","10.1016/j.jcv.2025.105879","10.1016_j.jcv.2025.105879"
"417",439,"False-positive malaria rapid diagnostic tests are prevalent among children under 5 years of age in Uganda.","10.1093/infdis/jiaf604","10.1093_infdis_jiaf604"
"418",440,"The hemoglobin, albumin, lymphocyte, and platelet score as a useful predictor for mortality in older patients with hip fracture.","10.3389/fmed.2025.1450818","10.3389_fmed.2025.1450818"
"419",441,"Risk factors for multidrug resistance in pulmonary tuberculosis patients with diabetes mellitus.","10.3389/fmed.2025.1516207","10.3389_fmed.2025.1516207"
"420",442,"Enhancement of Inpatient Mortality Prognostication With Machine Learning in a Prospective Global Cohort of Patients With Cirrhosis With External Validation.","10.1053/j.gastro.2025.07.015","10.1053_j.gastro.2025.07.015"
"421",443,"Predictive model for preterm premature rupture of membranes following fetal endoscopy laser coagulation in twin-to-twin transfusion syndrome surgery.","10.1007/s00404-025-08192-3","10.1007_s00404-025-08192-3"
"422",444,"Exploring vaccine safety and adverse events in major autoimmune diseases.","10.1016/j.autrev.2025.103857","10.1016_j.autrev.2025.103857"
"423",445,"Development and validation of a polysomnography-based nomogram for predicting amnestic mild cognitive impairment in middle-aged and elderly people.","10.1016/j.sleep.2025.106564","10.1016_j.sleep.2025.106564"
"424",446,"Research on the Precise Differentiation of Pathological Subtypes of Non-Small Cell Lung Cancer Based on 18F-FDG PET/CT Radiomics Features.","10.3390/cancers17203311","10.3390_cancers17203311"
"425",447,"Development and pan-cancer validation of an epigenetics-based random survival forest model for prognosis prediction and drug response in OS.","10.3389/fphar.2025.1529525","10.3389_fphar.2025.1529525"
"426",448,"Eye Selection Criteria's Influence in the Value of Pituitary Macroadenoma Management Biomarkers: Preliminary Findings.","10.3390/jcm14134542","10.3390_jcm14134542"
"427",449,"Integrated nomogram for predicting intracranial progression-free survival with EGFR-TKI combined with cranial radiotherapy: a multicenter study.","10.1007/s00330-025-12105-y","10.1007_s00330-025-12105-y"
"428",450,"Human miRNA-disease Association Prediction Via Residual GraphSAGE With Nonlinear Adaptive Feature Fusion and Triplet Contrastive Learning.","10.1016/j.jmb.2025.169360","10.1016_j.jmb.2025.169360"
"429",451,"A Clinical Validation of a Diagnostic Test for Esophageal Adenocarcinoma Based on a Novel Serum Glycoprotein Biomarker Panel: PromarkerEso.","10.3390/proteomes13020023","10.3390_proteomes13020023"
"430",452,"Risk prediction for symptomatic ischemic cerebrovascular disease based on ultrasound indicators of carotid plaque neovascularization.","10.3389/fcvm.2025.1648352","10.3389_fcvm.2025.1648352"
"431",453,"Identification of early prediction biomarkers of severity in patients with severe fever with thrombocytopenia syndrome based on plasma proteomics.","10.3389/fmicb.2025.1514388","10.3389_fmicb.2025.1514388"
"432",454,"Identification of A-to-I RNA editing profiles and their clinical relevance in pancreatic neuroendocrine neoplasms.","10.1016/j.pan.2025.09.006","10.1016_j.pan.2025.09.006"
"433",455,"IVIM-DWI-Based Radiomics for Lesion Phenotyping and Clinical Status Prediction in Relapsing-Remitting Multiple Sclerosis.","10.3390/jcm14196753","10.3390_jcm14196753"
"434",456,"Machine Learning-Driven Identification of Exosome-Related Genes in Head and Neck Squamous Cell Carcinoma for Prognostic Evaluation and Drug Response Prediction.","10.3390/biomedicines13040780","10.3390_biomedicines13040780"
"435",457,"Using 18F-FDG PET/CT-derived body composition features to predict lymphovascular invasion in non-small cell lung cancer.","10.1007/s00259-025-07435-4","10.1007_s00259-025-07435-4"
"436",458,"Deep learning NTCP model for late dysphagia after radiotherapy for head and neck cancer patients based on 3D dose, CT and segmentations.","10.1016/j.radonc.2025.111169","10.1016_j.radonc.2025.111169"
"437",459,"Multiscale Fusion Models With Genomic, Topological, and Pathomic Features to Predict Response to Radiation Therapy for Non-Small Cell Lung Cancer Patients.","10.1016/j.labinv.2025.104204","10.1016_j.labinv.2025.104204"
"438",460,"Quantitative analysis of thecal sac volume and morphology as a diagnostic tool in intracranial hypotension.","10.1111/head.15014","10.1111_head.15014"
"439",461,"Risk prediction for recurrent pregnancy loss based on routine inspections in the first trimester of pregnancy, a retrospective study in China.","10.3389/fmed.2025.1476722","10.3389_fmed.2025.1476722"
"440",462,"Applying spectral analysis to the arterial pulse to discriminate cardiovascular side effects following administration of Moderna's mRNA-1273 vaccine.","10.1016/j.ejphar.2025.178269","10.1016_j.ejphar.2025.178269"
"441",463,"The impact of updated imaging software on the performance of machine learning models for breast cancer diagnosis: a multi-center, retrospective study.","10.1007/s00404-024-07901-8","10.1007_s00404-024-07901-8"
"442",464,"A novel diagnostic score for diagnosing arginine vasopressin deficiency (central diabetes insipidus) or primary polydipsia with basal laboratory and clinical parameters: results from two international multicentre prospective diagnostic studies.","10.1016/S2213-8587(25)00053-1","10.1016_S2213-8587(25)00053-1"
"443",465,"A Multi-omics Framework Based on Machine Learning as a Predictor of Cognitive Impairment Progression in Early Parkinson's Disease.","10.1007/s40120-025-00716-y","10.1007_s40120-025-00716-y"
"444",466,"Time to replace the oral glucose tolerance test for cystic fibrosis related diabetes first-step screening? Establishing glycemic tools relevant to cystic fibrosis.","10.1080/07853890.2025.2514787","10.1080_07853890.2025.2514787"
"445",467,"The value of CA19-9 and MRI features in the preoperative differential diagnosis of pancreatic ductal adenocarcinoma in periampullary carcinoma.","10.1007/s00261-025-04830-1","10.1007_s00261-025-04830-1"
"446",469,"Construction of a predictive model for in-hospital mortality in patients with acute myocardial infarction complicated with cardiogenic shock.","10.3389/fcvm.2025.1614183","10.3389_fcvm.2025.1614183"
"447",470,"Distinct postoperative quality of life trajectories after surgery for degenerative cervical myelopathy: a multicenter prospective cohort study.","10.1016/j.spinee.2025.10.023","10.1016_j.spinee.2025.10.023"
"448",471,"Construction of Intraoperative Blood Glucose Abnormality Risk Prediction Model and Nursing Strategies for Nondiabetic Elderly Patients.","10.1016/j.jopan.2025.07.004","10.1016_j.jopan.2025.07.004"
"449",472,"Urinary 3-methylhistidine as a potential biomarker for sepsis-associated acute kidney injury: multidimensional metabolomics analysis in mice and human.","10.1186/s13613-025-01550-z","10.1186_s13613-025-01550-z"
"450",473,"Beyond nodules: body composition as a biomarker for future lung cancer.","10.1007/s00330-025-11735-6","10.1007_s00330-025-11735-6"
"451",474,"Diagnostic Accuracy of Smart Supra Perimetry in Comparison With Standard Automated Perimetry in the Detection of Early Glaucoma.","10.1097/IJG.0000000000002596","10.1097_IJG.0000000000002596"
"452",475,"Enhancing Early Keratoconus Detection With Multimodal Machine Learning: Integrating Tomography, Biomechanics, and Clinical Risk Factors.","10.1016/j.ajo.2025.08.035","10.1016_j.ajo.2025.08.035"
"453",476,"A New Risk Prediction Tool for Bleeding and Adverse Cardiovascular Events in Patients with Pre-Existing Coronary Stents Undergoing Gastrointestinal Cancer Surgery.","10.2147/CIA.S516475","10.2147_CIA.S516475"
"454",477,"An individualized risk prediction tool for ectopic pregnancy within the first 10 weeks of gestation based on machine learning algorithms.","10.3389/fmed.2025.1726606","10.3389_fmed.2025.1726606"
"455",478,"Predictive value of echocardiographic parameter of diastolic dysfunction (Ea/Aa) combined with electrocardiographic P-wave dispersion for the detection of early recurrence of atrial fibrillation after radiofrequency catheter ablation.","10.3389/fcvm.2025.1585919","10.3389_fcvm.2025.1585919"
"456",479,"Validation of a novel EC and PPD-based decision tree model for tuberculosis screening in Tibetan adolescent students.","10.3389/fmed.2025.1671278","10.3389_fmed.2025.1671278"
"457",480,"External validation of the Fetal Medicine Foundation model for preterm pre-eclampsia prediction at 11-14 weeks in an Australian population.","10.1111/aogs.70002","10.1111_aogs.70002"
"458",481,"Clinical characteristics and prognostic analysis of patients with hydrocephalus after hypertensive cerebral haemorrhage: a retrospective case-control study.","10.1007/s10143-025-03220-x","10.1007_s10143-025-03220-x"
"459",482,"Machine learning models of depression in middle-aged and older adults with cardiovascular metabolic diseases.","10.1016/j.jad.2025.119494","10.1016_j.jad.2025.119494"
"460",483,"Development and validation of a nomogram to predict the risk of post-stroke complex regional pain syndrome.","10.3389/fnagi.2025.1577256","10.3389_fnagi.2025.1577256"
"461",484,"Cumulative frailty impact on unplanned hospitalization in older patients with cancer and excellent Eastern Cooperative Oncology Group performance.","10.1007/s00520-025-09580-w","10.1007_s00520-025-09580-w"
"462",485,"Diagnostic and Prognostic Value of Systemic Inflammatory Markers and Serum Vitamin D in CRS.","10.1002/lary.70286","10.1002_lary.70286"
"463",486,"Prospective cohort study integrating plasma proteomics and machine learning for early risk prediction of prostate cancer.","10.1097/JS9.0000000000002805","10.1097_JS9.0000000000002805"
"464",487,"The Development of an Ultrasound-Based Scoring System for the Prediction of Interstitial Pregnancy.","10.3390/jcm14124238","10.3390_jcm14124238"
"465",488,"Do Birthweight-For-Gestational Age Centiles Predict Serious Neonatal Morbidity and Neonatal Mortality?","10.1111/ppe.70065","10.1111_ppe.70065"
"466",489,"Au@Pt DNA Nanomachine Coupled with Photonic Crystal Microchip Enables High-Fidelity and Portable miRNA Detection.","10.1021/acs.analchem.5c02942","10.1021_acs.analchem.5c02942"
"467",490,"Oral and fecal microbiota as accurate non-invasive tools for detection of pancreatic cancer in the Chinese population.","10.1016/j.canlet.2025.217456","10.1016_j.canlet.2025.217456"
"468",491,"The National Early Warning Score (NEWS) Predicts the 28-Day Mortality in Patients With Severe Fever With Thrombocytopenia Syndrome: A Cross-Sectional Study.","10.1111/jocn.17713","10.1111_jocn.17713"
"469",492,"Integrative Analysis of Fucosylated Tetra Glycoforms in Hepatocellular Carcinoma: A NanoLC-PRM-MS/MS and Machine Learning Approach.","10.1021/acs.jproteome.5c00626","10.1021_acs.jproteome.5c00626"
"470",494,"Comprehensive deep learning-assisted multi-condition analysis of knee MRI studies improves resident radiologist performance.","10.1007/s00330-025-12052-8","10.1007_s00330-025-12052-8"
"471",495,"A renal biopsy-anchored multi-marker signature involving AOPEP SNP-driven splicing, miR-27b-3p and glycated albumin for stratifying renal damage in type 2 diabetes.","10.1016/j.diabres.2025.112460","10.1016_j.diabres.2025.112460"
"472",496,"Diagnostic model for COPD patients with nocardia infection: a study based on clinical features and risk factors.","10.1177/17534666251359139","10.1177_17534666251359139"
"473",497,"Enhanced Risk Stratification in Infective Endocarditis Surgery: A Comprehensive External Validation of All Available Mortality Prediction Scores.","10.2147/CLEP.S566997","10.2147_CLEP.S566997"
"474",498,"New insights on the use of mini nutritional assessment: Impact of alternative calf circumference cutoffs.","10.1016/j.clnu.2025.03.015","10.1016_j.clnu.2025.03.015"
"475",499,"Preoperative systemic inflammatory biomarkers can improve recurrence prediction of non-muscle invasive bladder cancer after endoscopic resection - a prospective observational study.","10.5114/wo.2025.151064","10.5114_wo.2025.151064"
"476",500,"TSH as a novel biomarker for recurrence of hypertriglyceridemia pancreatitis: a clinical predictive tool linking lipid dysregulation to inflammation.","10.1016/j.pan.2025.07.417","10.1016_j.pan.2025.07.417"
"477",501,"Validation of the 9th Tumor, Node, and Metastasis Staging System for Patients with Surgically Resected Non-Small Cell Lung Cancer.","10.1016/j.ejca.2025.115436","10.1016_j.ejca.2025.115436"
"478",502,"Artificial intelligence for the detection of airway nodules in chest CT scans.","10.1007/s00330-025-11468-6","10.1007_s00330-025-11468-6"
"479",503,"Development and validation of a predictive model for COPD: a multicenter study.","10.3389/fmed.2025.1615642","10.3389_fmed.2025.1615642"
"480",504,"Immune cell profiling supports early prediction of sepsis-associated acute kidney disease using a decision tree algorithm.","10.1186/s40364-025-00870-3","10.1186_s40364-025-00870-3"
"481",505,"Thin-slice T2-weighted images and deep-learning-based super-resolution reconstruction: improved preoperative assessment of vascular invasion for pancreatic ductal adenocarcinoma.","10.1186/s13244-025-02022-5","10.1186_s13244-025-02022-5"
"482",506,"Your Patella Dislocated: Will It Happen Again? Key Magnetic Resonance Imaging Differences Between Patients With Multiple Patellar Dislocations and Patients With a One-Time Patellar Dislocation.","10.1177/23259671251356632","10.1177_23259671251356632"
"483",507,"Dynamic prediction of reoffending in individuals given community sentences: Development and validation of a novel risk monitoring assessment tool (oxMore).","10.1037/lhb0000641","10.1037_lhb0000641"
"484",508,"Salivary levels of amyloid beta reflect brain amyloid beta burden in cognitively-normal older adults.","10.1016/j.tjpad.2025.100216","10.1016_j.tjpad.2025.100216"
"485",509,"The relationship between plasma sphingosine-1-phosphate, plasma apolipoprotein M, obesity, and the risk of incident type 2 diabetes: a prospective cohort study.","10.1038/s41366-025-01890-7","10.1038_s41366-025-01890-7"
"486",510,"Development and internal validation of a diagnostic prediction model for life-threatening events in callers with shortness of breath: a cross-sectional study in out-of-hours primary care.","10.3399/BJGP.2024.0538","10.3399_BJGP.2024.0538"
"487",511,"Altered perfusion in the locus coeruleus of patients with chronic migraine: a pilot 3D-PCASL study.","10.1007/s11682-025-01020-x","10.1007_s11682-025-01020-x"
"488",512,"Leveraging Machine Learning and Real-World Data to Predict Chronic Obstructive Pulmonary Disease Exacerbations.","10.2147/COPD.S536395","10.2147_COPD.S536395"
"489",513,"Misleading Results in Posttraumatic Stress Disorder Predictive Models Using Electronic Health Record Data: Algorithm Validation Study.","10.2196/63352","10.2196_63352"
"490",514,"Radiologic assessment of third molar development and cervical vertebral maturation to validate age of majority in a Mexican population.","10.1007/s00414-025-03450-0","10.1007_s00414-025-03450-0"
"491",515,"Analysis of pathogen distribution and serum procalcitonin level alterations in patients with type 2 diabetes mellitus complicated by urinary tract infections.","10.3389/fendo.2025.1609966","10.3389_fendo.2025.1609966"
"492",517,"Development and external validation of a machine learning model to predict the initial dose of vancomycin for targeting an area under the concentration-time curve of 400-600 mg∙h/L.","10.1016/j.ijmedinf.2025.105817","10.1016_j.ijmedinf.2025.105817"
"493",518,"Diagnostic value of serum TGF-β1 and CysC in type 2 diabetic kidney disease: a cross-sectional study.","10.3389/fmed.2025.1529648","10.3389_fmed.2025.1529648"
"494",519,"The value of MRI radiomics in distinguishing different types of spinal infections.","10.1016/j.cmpb.2025.108719","10.1016_j.cmpb.2025.108719"
"495",520,"Machine learning prediction of perineural invasion in intrahepatic cholangiocarcinoma.","10.1016/j.ejso.2025.110203","10.1016_j.ejso.2025.110203"
"496",521,"Glucose to albumin ratio as a new predictor of postoperative pressure ulcers and hospital length of stay in geriatric hip fracture patients.","10.3389/fnut.2025.1639306","10.3389_fnut.2025.1639306"
"497",522,"When can coronary computed tomography angiography in patients with calcified plaque be accurate?","10.3389/fcvm.2025.1570517","10.3389_fcvm.2025.1570517"
"498",523,"Risk factors for Early (Three-Month) Postoperative Mortality in Metastatic Spine Tumor Surgery: A JASA Multicenter Prospective Study.","10.1097/BRS.0000000000005359","10.1097_BRS.0000000000005359"
"499",524,"Predicting work ability impairment in post COVID-19 patients: a machine learning model based on clinical parameters.","10.1007/s15010-024-02459-8","10.1007_s15010-024-02459-8"
"500",525,"End-to-end prognostication in pancreatic cancer by multimodal deep learning: a retrospective, multicenter study.","10.1007/s00330-025-11694-y","10.1007_s00330-025-11694-y"
"501",526,"Development of an interpretable machine learning model for predicting sarcopenia in patients undergoing maintenance hemodialysis.","10.3389/fmed.2025.1576081","10.3389_fmed.2025.1576081"
"502",527,"New approach to specific Alzheimer's disease diagnosis based on plasma biomarkers in a cognitive disorder cohort.","10.1111/eci.70034","10.1111_eci.70034"
